num_orange,race,avg_dist,K_div,multi_racial_fraction,dist_to_furthest,fraction_of_rarest
30,white,1.0710863393593495,0.5247411348577231,0.5121019108280255,3.5451553591684886,0.04652338748950468
30,black,1.1195855942809647,0.5217514345667387,0.4920424403183024,3.782806276500372,0.040577347425387884
30,orange,1.082842712474619,0.8763051905750591,0.6222222222222222,1.685065692637006,0.3830886492536073
60,white,1.0425651754056688,0.5479616964577034,0.5683192261185006,2.3521903273366127,0.08879563282140944
60,black,1.071873232617682,0.5451846838361835,0.5229244114002478,2.556412013358688,0.08786557509950187
60,orange,1.0345177968644246,0.8741666617706222,0.6774193548387096,1.5645375331285736,0.3808485858446379
90,white,1.0447546895706434,0.5628538183978677,0.5674740484429066,1.98593986899534,0.1281970527404741
90,black,1.067989898732234,0.5628237731440958,0.5134502923976608,2.256425006323914,0.12912190095798848
90,orange,1.024918229856881,0.8622866878645356,0.6678445229681979,1.5348533900701982,0.3880982385325271
120,white,1.030375661240694,0.5849666187915958,0.5989276139410188,1.8115334502549805,0.15922827027918912
120,black,1.0630389608181054,0.582047942068227,0.5532879818594104,2.079555623152963,0.15759651316047588
120,orange,1.0870224891956393,0.7958365439986074,0.5836431226765799,1.4990370441377858,0.36572767506129034
150,white,1.024852813742386,0.5994136283267426,0.6270298585646935,1.8397587874215995,0.177861483335767
150,black,1.038659932488156,0.5908538900503488,0.5371639430680021,2.0597931064543054,0.1765368133289604
150,orange,1.1155269881389958,0.7228852763294478,0.5046904315196998,1.6077907483248997,0.33252363804299484
180,white,1.0124264068711932,0.6144643337295237,0.6324535679374389,1.6396930811637,0.21687125302819046
180,black,1.035898508739002,0.6117372348004707,0.5610997963340122,1.8833867212543636,0.2150758802684201
180,orange,1.1159447649171603,0.7423717296171244,0.4938080495356037,1.536383969154738,0.3406411513630506
210,white,1.0096649831220392,0.6240920757816845,0.640544345377757,1.5460648429220705,0.21041611383870829
210,black,1.0342809041582066,0.6161122317967976,0.5495145631067961,1.795276008728216,0.20636616284743395
210,orange,1.1827592656830346,0.665495968301833,0.46255506607929514,1.632454192262954,0.29654108503466275
240,white,1.0082842712474622,0.6405144736237532,0.644343891402715,1.3794464253495984,0.2399174021232634
240,black,1.0381861470757194,0.6366556076445362,0.5681923254738789,1.600233544556398,0.24075467326785088
240,orange,1.1429150457055277,0.666821930043265,0.5125333333333333,1.4874888727302862,0.30771386278191465
270,white,1.006903559372885,0.6506929387548402,0.6595012897678418,1.3186016589423046,0.26010761810170807
270,black,1.0350897064486042,0.6455241702856138,0.5754884547069272,1.492468289810766,0.2647446378532447
270,orange,1.07163775422255,0.657020547702759,0.5475746268656716,1.4477782289228338,0.29119100390386227
